項目,108,109,110
銷貨收入淨額（新台幣 10 億元）,"1,070","1,339","1,587"
母公司淨利（新台幣 10 億元）,345,518,597
研究發展費用（新台幣 10 億元）,91,109,125
資本支出（新台幣 10 億元）,460,507,839
,,,
輔導供應商的累計節電量（億度）（民國 107 年為基準年）,0.97,2.1,3.4
輔導供應商的累計節水量（公噸）（民國 107 年為基準年）,0,"2,130,000","19,710,000"
,,,
範疇一（公噸－二氧化碳當量）,"2,071,743","2,004,841","2,151,937"
範疇二（公噸－二氧化碳當量）（市場係數法）,"6,697,872","7,459,856","8,152,497"
範疇二（公噸－二氧化碳當量）（區域係數法）,"7,350,195","8,282,509","9,196,964"
範疇三（公噸－二氧化碳當量）,"5,307,028","5,511,486","6,049,256"
,,,
能源使用（百萬度）（包括電力、天然氣與柴油）,"14,323","16,919","19,192"
直接能源使用（百萬度）（包括天然氣與柴油） ,747,861,"1,112"
間接能源使用（百萬度）（非再生能源電力）,"12,658","14,828","16,409"
間接能源使用（百萬度）（再生能源電力）,918,"1,230","1,671"
,,,
用水量（百萬公噸）,64.3,77.3,82.8
製程用水回收率（%）,86.7,86.4,85.4
總節水量（百萬公噸）,133.6,173,186.3
,,,
廢棄物產生量（公噸） ,"416,715","575,740","674,703"
　一般廢棄物產生量,"219,584","277,340","335,080"
有害廢棄物產生量,"197,131","298,400","339,623"
廢棄物回收率（%） ,96,95,95
,,,
外購非再生電力（GJ）,"1,761,642","1,802,005","1,944,925"
再生能源自發自用量 (GJ),"73,156","83,632","91,159"
